"";"PT1_L";"PT1_R";"PT2_L";"PT2_R";"PT3_L";"PT3_R";"PT4_L";"PT4_R";"PT5_L";"PT5_R";"PT6A_L";"PT6A_R";"PT6B_L";"PT6B_R";"RD1_L";"RD3_L";"RD3_R";"RD4_R";"RD5_R";"RD6B_R"
"MIR302D";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR302F";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3064";3;0;4;2;1;1;7;5;2;1;7;47;17;12;2;6;1;5;3;3
"MIR3065";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3074";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR30A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR30B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR30C1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR30C2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR30D";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR30E";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR31";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3115";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3117";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3118-3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3119-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3119-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3120";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"MIR3121";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3122";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3123";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3124";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3125";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3126";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3127";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3128";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3129";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3130-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3130-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3131";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3132";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3134";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3136";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3138";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3140";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3141";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3142";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"MIR3143";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3145";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3146";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3147";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3148";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3150A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3150B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3151";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3153";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"MIR3154";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3155A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3155B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3156-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3156-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3156-3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3157";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3158-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3158-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3160-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3160-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3162";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3165";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"MIR3167";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3169";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3170";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3173";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3175";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3176";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3177";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3178";0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"MIR3179-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3179-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3179-3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3180-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3180-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3180-3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3180-4";0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
"MIR3180-5";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3182";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3183";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3184";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3185";0;2;0;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"MIR3186";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3187";0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"MIR3188";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3189";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3190";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3191";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3192";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3193";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3194";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3196";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3197";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3198-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3198-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3199-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3199-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR31HG";23;34;13;12;61;12;865;6;7;17;2;139;13;208;60;145;158;56;2;193
"MIR32";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3200";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3201";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3202-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3202-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR320A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR320B1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR320B2";1;3;1;0;2;0;1;2;1;2;1;1;1;1;0;0;0;3;2;0
"MIR320C1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR320C2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR320D1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR320D2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR320E";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR323A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR323B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"MIR324";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR325HG";0;0;0;0;0;4;0;0;0;0;0;6;0;2;8;0;2;0;2;0
"MIR326";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR328";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR329-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR329-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR330";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR331";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR335";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR337";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR338";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR339";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR33A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR33B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR340";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR345";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR346";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR34A";0;0;4;1;1;1;0;0;1;0;0;0;0;1;0;3;1;1;0;0
"MIR34B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR34C";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3529";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3591";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3605";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3606";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3607";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3609";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3610";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3612";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3613";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3614";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3615";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3616";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3618";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3619";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR362";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3620";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3621";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3622A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3622B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR363";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3646";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3648-1";0;0;2;0;0;1;0;0;0;1;0;2;0;0;2;1;1;0;1;0
"MIR3649";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3650";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3651";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3652";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3653";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3654";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3655";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3656";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3658";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3659";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR365A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR365B";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;2;0;0;0
"MIR3660";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3661";0;1;2;0;1;1;0;2;0;2;0;1;1;1;0;1;0;0;0;2
"MIR3662";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3663";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3663HG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3664";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3665";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3666";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3668";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR367";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3671";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3675";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3677";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3678";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3679";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3680-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3680-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3682";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3684";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3685";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3687-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3688-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3688-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3689A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3689B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3689C";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3689D1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3689D2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3689E";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3689F";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR369";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3690";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3691";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3692";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3714";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR371A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR371B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR372";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR373";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR374A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR374B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR374C";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR375";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR376A1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR376A2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR376B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR376C";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR377";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR378C";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR378D1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR378D2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR378E";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR378F";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR378J";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR379";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR380";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR381";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR381HG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR382";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR383";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR384";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3907";0;1;2;0;3;1;0;2;0;4;0;2;0;3;0;0;0;2;1;0
"MIR3908";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3909";0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
"MIR3910-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3910-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3911";6;4;1;1;3;10;17;10;2;4;4;7;3;9;13;10;5;6;5;10
"MIR3912";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3913-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3913-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3914-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3914-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3916";12;71;50;58;24;24;9;52;4;23;30;36;22;20;35;21;11;11;29;26
"MIR3917";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3918";0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;1;0;0;2
"MIR3919";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3920";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3921";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3922";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3924";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3925";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3926-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3926-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3928";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3935";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3936";0;3;0;3;2;7;1;7;3;4;2;4;3;2;5;0;12;8;2;8
"MIR3938";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3939";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3940";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3941";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3942";0;0;2;1;0;0;0;0;1;0;1;1;0;2;0;0;0;0;0;0
"MIR3943";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3944";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3945";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3960";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3973";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3974";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3975";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3976";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3976HG";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3977";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR3978";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR409";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR410";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"MIR411";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR412";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR421";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR423";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR424";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR425";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4251";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4252";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4253";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4254";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4255";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4256";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4257";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4258";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4260";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4261";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4262";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4263";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4264";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4265";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4266";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4267";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4268";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR4269";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
